loss/actor,loss/critic1,loss/critic2,timestep
1.6360374638679795e-05,-1.0,-1.0,151000
1.616314956663699e-05,-1.0,-1.0,152000
1.6383500048505077e-05,-1.0,-1.0,153000
1.6234255323979608e-05,-1.0,-1.0,154000
1.588039409034536e-05,-1.0,-1.0,155000
1.5984583053068484e-05,-1.0,-1.0,156000
1.58771612614146e-05,-1.0,-1.0,157000
1.6157109574123732e-05,-1.0,-1.0,158000
1.593870024680654e-05,-1.0,-1.0,159000
1.614568824425076e-05,-1.0,-1.0,160000
1.5599483412188376e-05,-1.0,-1.0,161000
1.5716551033619877e-05,-1.0,-1.0,162000
1.5551516456071123e-05,-1.0,-1.0,163000
1.583922574263856e-05,-1.0,-1.0,164000
1.5814544097338535e-05,-1.0,-1.0,165000
1.5487003676753383e-05,-1.0,-1.0,166000
1.5439448694451096e-05,-1.0,-1.0,167000
1.552583078864701e-05,-1.0,-1.0,168000
1.53819139122788e-05,-1.0,-1.0,169000
1.5484475045923316e-05,-1.0,-1.0,170000
1.5708790120697835e-05,-1.0,-1.0,171000
1.5066324882354823e-05,-1.0,-1.0,172000
1.5235509332342148e-05,-1.0,-1.0,173000
1.5519517472967012e-05,-1.0,-1.0,174000
1.5215584480756648e-05,-1.0,-1.0,175000
1.5386664979814714e-05,-1.0,-1.0,176000
1.5227113639411983e-05,-1.0,-1.0,177000
1.5117446557269445e-05,-1.0,-1.0,178000
1.489684062289598e-05,-1.0,-1.0,179000
1.5033040592243203e-05,-1.0,-1.0,180000
1.47807941702922e-05,-1.0,-1.0,181000
1.4839006452348255e-05,-1.0,-1.0,182000
1.49787038781142e-05,-1.0,-1.0,183000
1.504729019961812e-05,-1.0,-1.0,184000
1.4795300394325742e-05,-1.0,-1.0,185000
1.510070908716443e-05,-1.0,-1.0,186000
1.4940891453989004e-05,-1.0,-1.0,187000
1.4351667800838172e-05,-1.0,-1.0,188000
1.4984753596763772e-05,-1.0,-1.0,189000
1.4736050676219749e-05,-1.0,-1.0,190000
1.462957786316109e-05,-1.0,-1.0,191000
1.477322065693444e-05,-1.0,-1.0,192000
1.447647305849385e-05,-1.0,-1.0,193000
1.4868555541397653e-05,-1.0,-1.0,194000
1.4521337136102368e-05,-1.0,-1.0,195000
1.4442057560700037e-05,-1.0,-1.0,196000
1.470544008952858e-05,-1.0,-1.0,197000
1.4529905429299132e-05,-1.0,-1.0,198000
1.4123594489319655e-05,-1.0,-1.0,199000
1.467353425960028e-05,-1.0,-1.0,200000
1.4297556260316899e-05,-1.0,-1.0,201000
1.4537070002006663e-05,-1.0,-1.0,202000
1.3980134126541088e-05,-1.0,-1.0,203000
1.4463477825302105e-05,-1.0,-1.0,204000
1.4133979506368623e-05,-1.0,-1.0,205000
1.47412670066842e-05,-1.0,-1.0,206000
1.3819642920680047e-05,-1.0,-1.0,207000
1.4443678325733349e-05,-1.0,-1.0,208000
1.4229446159333754e-05,-1.0,-1.0,209000
1.406763787326782e-05,-1.0,-1.0,210000
1.4192483554325009e-05,-1.0,-1.0,211000
1.4053414351110401e-05,-1.0,-1.0,212000
1.407255144022202e-05,-1.0,-1.0,213000
1.3967778653750444e-05,-1.0,-1.0,214000
1.4028966237674476e-05,-1.0,-1.0,215000
1.3825454811922106e-05,-1.0,-1.0,216000
1.3937337464085409e-05,-1.0,-1.0,217000
1.3763816056780333e-05,-1.0,-1.0,218000
